county_fips,state_po,year,democrats,green,libertarian,other,republican
9011,CT,2020,410137,6975,2256,14292,296846
9013,CT,2020,239692,4109,1277,9129,184694
9015,CT,2020,158088,2933,914,6659,134898
(blank),CT,2020,0,0,,3534,0
11001,DC,2020,1170593,10576,,28396,90800
(blank),DC,2020,317323,1726,2036,4685,18586
10001,DE,2020,196484,1502,1044,6817,195621
10003,DE,2020,977513,7049,2953,23993,501384
10005,DE,2020,236126,1895,1003,7149,315522
12001,FL,2020,420657,3528,1390,11592,277002
12003,FL,2020,13359,63,93,514,53200
12005,FL,2020,133033,970,1004,6396,333891
12007,FL,2020,19158,95,110,633,48573
12009,FL,2020,726468,5023,3178,23249,974873
12011,FL,2020,3014600,8357,3114,37122,1498766
12013,FL,2020,10206,43,29,567,25295
12015,FL,2020,214556,1591,565,6008,306516
12017,FL,2020,164603,1465,548,5615,277443
12019,FL,2020,152198,715,1286,6221,400482
12021,FL,2020,318667,1586,889,8057,561353
12023,FL,2020,49226,286,224,1778,109025
12027,FL,2020,23830,165,52,663,36090
12029,FL,2020,10144,80,27,473,29958
12031,FL,2020,1124089,3529,4788,26541,1239874
12033,FL,2020,337419,1983,2146,11981,532187
12035,FL,2020,130595,504,359,2919,160059
12037,FL,2020,12290,97,27,414,22114
12039,FL,2020,86889,160,96,796,38654
12041,FL,2020,10966,110,61,662,34444
12043,FL,2020,9093,60,21,236,15939
12045,FL,2020,12672,91,48,607,29772
12047,FL,2020,12441,45,33,295,18513
12049,FL,2020,13966,83,40,462,29637
12051,FL,2020,26493,117,65,618,35740
12053,FL,2020,218861,1652,686,6231,292622
12055,FL,2020,95672,598,223,2577,162658
12057,FL,2020,1627382,8677,5665,39785,1507145
12059,FL,2020,8474,103,48,577,40938
12061,FL,2020,167813,1067,534,4479,256691
12063,FL,2020,42599,151,116,1067,78140
12065,FL,2020,22647,89,46,411,21790
12067,FL,2020,3991,28,14,191,15414
12069,FL,2020,355882,1714,1385,10202,522891
12071,FL,2020,679881,4027,2016,17995,976886
12073,FL,2020,523513,2203,1344,11004,313461
12075,FL,2020,35608,309,131,1392,71600
12077,FL,2020,5269,21,14,273,13273
12079,FL,2020,22783,67,32,417,26674
12081,FL,2020,408366,2749,1287,10292,532549
12083,FL,2020,376505,2037,1180,10640,554754
12085,FL,2020,187521,1223,448,4929,282030
12086,FL,2020,3021821,6641,3329,36212,2210992
12087,FL,2020,117300,1141,348,3188,121290
12089,FL,2020,62827,296,569,2730,174351
12091,FL,2020,143637,1168,1881,8871,412434
12093,FL,2020,28054,138,66,752,47750
12095,FL,2020,1605156,5025,4685,32960,1143091
12097,FL,2020,376770,1022,964,7329,273788
12099,FL,2020,2117586,6456,3040,31250,1446187
12101,FL,2020,564208,3860,2265,18797,716065
12103,FL,2020,1424644,10934,4268,37840,1349245
12105,FL,2020,652178,2484,2595,16941,826325
12107,FL,2020,70038,427,226,2116,118373
12109,FL,2020,223831,1427,1413,8033,446107
12111,FL,2020,377406,1577,768,6792,348131
12113,FL,2020,110775,846,1645,6849,345215
12115,FL,2020,577080,4353,1507,14124,674001
12117,FL,2020,570367,2352,2215,15575,633546
12119,FL,2020,110379,345,269,2677,218930
12121,FL,2020,26713,203,119,1220,75062
12123,FL,2020,15716,70,52,544,36910
12125,FL,2020,7363,38,42,333,23342
12127,FL,2020,695032,3300,2156,16236,742537
12129,FL,2020,28919,167,135,1078,52842
12131,FL,2020,42914,308,336,2133,129491
12133,FL,2020,16004,108,69,735,47092
13001,GA,2020,10758,2,36,335,30772
13003,GA,2020,5010,1,30,120,10951
13005,GA,2020,4727,2,25,161,18427
13007,GA,2020,4771,0,6,56,4721
13009,GA,2020,46848,22,208,975,45762
13011,GA,2020,5792,14,74,440,32015
13013,GA,2020,37470,61,664,2689,105707
13015,GA,2020,53611,55,701,3090,157468
13017,GA,2020,14009,0,58,244,20374
13019,GA,2020,8338,0,55,372,28220
13021,GA,2020,212145,248,749,3339,155466
13023,GA,2020,7615,1,67,297,20894
13025,GA,2020,6006,5,56,390,30053
13027,GA,2020,15414,12,50,227,20340
13029,GA,2020,22858,0,357,995,55643
13031,GA,2020,52084,137,455,1609,83073
13033,GA,2020,28511,7,75,312,26149
13035,GA,2020,16726,8,91,608,35693
13037,GA,2020,7305,0,11,52,5156
13039,GA,2020,35029,10,470,1176,65265
13043,GA,2020,6810,0,29,156,14118
13045,GA,2020,74700,157,760,3435,165609
13047,GA,2020,34370,66,494,2061,110558
13049,GA,2020,6580,5,44,161,15444
13051,GA,2020,346765,596,1929,6839,276289
13053,GA,2020,4193,4,35,106,4672
13055,GA,2020,13833,5,132,603,34182
13057,GA,2020,137335,306,2449,11410,423300
13059,GA,2020,157558,1247,839,5469,83213
13061,GA,2020,4847,0,7,26,3255
13063,GA,2020,433857,176,1055,4368,102200
13065,GA,2020,4840,0,12,129,9700
13067,GA,2020,846938,2134,6441,34101,975011
13069,GA,2020,26045,8,125,561,52348
13071,GA,2020,22437,5,119,623,54988
13073,GA,2020,100688,122,1330,4214,236394
13075,GA,2020,11301,3,76,269,22137
13077,GA,2020,91185,133,1088,4746,224267
13079,GA,2020,9639,5,59,311,19606
13081,GA,2020,16700,1,66,297,25292
13083,GA,2020,8700,13,107,571,27992
13085,GA,2020,9672,28,197,932,51246
13087,GA,2020,24894,13,89,348,34027
13089,GA,2020,1407711,1930,4204,24210,372191
13091,GA,2020,13757,1,56,405,29677
13093,GA,2020,12080,0,35,144,11527
13095,GA,2020,136773,68,280,1112,70641
13097,GA,2020,157239,162,837,3916,148060
13099,GA,2020,13296,4,28,155,14975
13101,GA,2020,1200,0,18,51,5532
13103,GA,2020,29301,13,492,1284,91887
13105,GA,2020,17476,14,66,438,29133
13107,GA,2020,16923,1,66,322,30105
13109,GA,2020,7526,2,35,155,14154
13111,GA,2020,14596,33,110,774,49790
13113,GA,2020,123197,259,976,5080,216260
13115,GA,2020,61818,0,517,2717,136696
13117,GA,2020,111537,132,1980,8482,355083
13119,GA,2020,10534,0,103,546,37183
13121,GA,2020,1557140,1264,6275,32123,761525
13123,GA,2020,14209,35,164,830,53595
13125,GA,2020,1178,0,8,66,6754
13127,GA,2020,69020,128,489,1706,121454
13129,GA,2020,23333,18,244,1360,80521
13131,GA,2020,19403,18,54,352,33748
13133,GA,2020,18738,13,91,358,29210
13135,GA,2020,812656,1298,5625,30316,914204
13137,GA,2020,16527,36,232,1108,71157
13139,GA,2020,89440,190,1322,5333,274070
13141,GA,2020,17658,4,21,80,5050
13143,GA,2020,12607,0,125,830,51876
13145,GA,2020,24184,20,215,831,62532
13147,GA,2020,18648,21,106,593,39546
13149,GA,2020,5883,9,51,307,18914
13151,GA,2020,240688,46,1279,5748,256374
13153,GA,2020,127936,89,1057,3894,198054
13155,GA,2020,6393,3,26,159,15060
13157,GA,2020,28209,43,531,1865,108681
13159,GA,2020,10201,2,61,354,23689
13161,GA,2020,7216,2,48,272,23008
13163,GA,2020,22712,2,44,200,18285
13165,GA,2020,8103,5,28,107,11094
13167,GA,2020,7189,1,28,112,14311
13169,GA,2020,24652,24,113,599,45585
13171,GA,2020,14865,15,94,450,28231
13173,GA,2020,5764,3,48,176,10789
13175,GA,2020,42112,0,163,876,69922
13177,GA,2020,18142,9,149,604,56965
13179,GA,2020,55552,26,331,869,36072
13181,GA,2020,8556,0,36,170,15592
13183,GA,2020,8131,1,95,255,13893
13185,GA,2020,93434,188,547,2030,123392
13187,GA,2020,14199,0,242,1228,49872
13189,GA,2020,21379,6,118,431,31248
13191,GA,2020,15254,4,68,268,18797
13193,GA,2020,17687,3,22,137,9997
13195,GA,2020,16107,44,200,900,49979
13197,GA,2020,7574,0,38,138,10558
13199,GA,2020,24037,13,66,454,29148
13201,GA,2020,4561,0,20,98,10804
13205,GA,2020,21772,5,33,249,24245
13207,GA,2020,21901,18,148,675,47269
13209,GA,2020,6026,8,27,152,14428
13211,GA,2020,16404,29,122,561,35388
13213,GA,2020,15253,10,144,909,53191
13215,GA,2020,237171,243,965,3543,168432
13217,GA,2020,112057,31,576,2449,115323
13219,GA,2020,29962,148,411,1958,73125
13221,GA,2020,11831,69,102,529,25007
13223,GA,2020,96946,34,1156,4301,226949
13225,GA,2020,30596,3,123,484,30454
13227,GA,2020,14290,9,233,1036,59880
13229,GA,2020,6914,2,49,239,33396
13231,GA,2020,8595,13,88,516,38171
13233,GA,2020,22172,26,152,924,58572
13235,GA,2020,7601,2,37,153,14363
13237,GA,2020,17726,20,116,441,35800
13239,GA,2020,3252,0,5,49,2955
13241,GA,2020,10682,31,110,662,33103
13243,GA,2020,9865,0,12,90,7895
13245,GA,2020,283273,175,1111,3967,159178
13247,GA,2020,117479,159,430,2660,93423
13249,GA,2020,2714,1,13,69,7579
13251,GA,2020,15526,3,51,234,19752
13253,GA,2020,8172,0,19,167,13030
13255,GA,2020,54471,8,275,1576,86231
13257,GA,2020,14641,9,132,731,44238
13259,GA,2020,7519,0,7,82,4606
13261,GA,2020,34977,40,100,419,32638
13263,GA,2020,12242,3,16,134,7038
13265,GA,2020,3553,2,7,22,1977
13267,GA,2020,11321,1,69,310,28839
13269,GA,2020,8589,2,34,129,11775
13271,GA,2020,9834,1,21,146,14105
13273,GA,2020,13223,2,36,130,10965
13275,GA,2020,42082,40,191,785,62732
13277,GA,2020,26489,22,177,565,54281
13279,GA,2020,16197,13,103,442,38352
13281,GA,2020,8349,34,45,379,27660
13283,GA,2020,5931,3,24,104,10141
13285,GA,2020,56302,80,328,1336,89844
13287,GA,2020,7897,2,33,145,11641
13289,GA,2020,12884,4,30,205,12081
13291,GA,2020,13946,54,108,706,50703
13293,GA,2020,22278,12,96,431,42074
13295,GA,2020,33680,0,411,1858,103147
13297,GA,2020,48962,38,571,2751,159816
13299,GA,2020,22514,0,116,491,48519
13301,GA,2020,8422,2,16,77,6288
13303,GA,2020,25460,7,66,290,24306
13305,GA,2020,15601,0,104,525,45336
13307,GA,2020,3265,1,3,37,3411
13309,GA,2020,4500,2,13,83,7783
13311,GA,2020,11960,47,183,863,51361
13313,GA,2020,47951,131,440,2236,120857
13315,GA,2020,5616,0,16,98,11797
13317,GA,2020,12378,8,46,196,15269
13319,GA,2020,12567,3,31,180,13653
13321,GA,2020,13877,8,60,305,33528
15001,HI,2020,261819,5409,1027,10259,113099
15003,HI,2020,1125268,15215,3437,33396,648668
15007,HI,2020,105124,1728,303,4077,47845
15009,HI,2020,208851,3084,772,8011,89391
19001,IA,2020,9642,70,35,457,14234
19003,IA,2020,5175,52,27,302,7571
19005,IA,2020,18853,203,71,862,21873
19007,IA,2020,15249,114,72,658,21134
19009,IA,2020,8889,63,32,378,11738
19011,IA,2020,36420,260,186,1669,42953
19013,IA,2020,212389,1235,722,7860,159700
19015,IA,2020,40009,276,198,2071,41557
19017,IA,2020,36211,284,185,1557,40018
19019,IA,2020,30753,191,96,1326,29418
19021,IA,2020,20409,237,66,1006,27995
19023,IA,2020,17010,127,68,779,26537
19025,IA,2020,11822,96,59,619,18829
19027,IA,2020,26164,159,68,1073,35568
19029,IA,2020,15381,155,61,817,26965
19031,IA,2020,26909,234,124,1132,29197
19033,IA,2020,74081,450,196,2701,63980
19035,IA,2020,14972,163,48,804,22957
19037,IA,2020,19119,155,47,769,19433
19039,IA,2020,11742,78,34,593,14292
19041,IA,2020,19062,174,101,1084,30231
19043,IA,2020,25552,224,82,1134,27597
19045,IA,2020,77155,518,314,3013,63337
19047,IA,2020,17050,154,42,727,23856
19049,IA,2020,93783,377,744,4817,110932
19051,IA,2020,8612,72,30,505,14029
19053,IA,2020,9631,105,29,556,12872
19055,IA,2020,23414,176,87,1083,30312
19057,IA,2020,65262,461,275,2621,51634
19059,IA,2020,23237,177,92,990,34841
19061,IA,2020,154788,1112,556,6093,127311
19063,IA,2020,12116,110,36,532,16300
19065,IA,2020,28989,201,102,1141,30366
19067,IA,2020,24032,164,63,1005,22581
19069,IA,2020,12422,115,45,604,17705
19071,IA,2020,8497,69,37,422,13516
19073,IA,2020,12966,110,36,570,15678
19075,IA,2020,14012,82,87,805,25912
19077,IA,2020,14018,93,79,811,20318
19079,IA,2020,20671,148,71,977,25684
19081,IA,2020,13361,130,49,634,21067
19083,IA,2020,21980,152,105,962,29464
