"Notes"	"Gender"	"Gender Code"	"County"	"County Code"	"Yearly July 1st Estimates"	"Yearly July 1st Estimates Code"	Population
	"Female"	"F"	"Cochise County, AZ"	"04003"	"2011"	"2011"	65101
	"Female"	"F"	"Cochise County, AZ"	"04003"	"2015"	"2015"	62188
"Total"	"Female"	"F"	"Cochise County, AZ"	"04003"			127289
	"Female"	"F"	"Coconino County, AZ"	"04005"	"2011"	"2011"	67743
	"Female"	"F"	"Coconino County, AZ"	"04005"	"2015"	"2015"	70249
"Total"	"Female"	"F"	"Coconino County, AZ"	"04005"			137992
	"Female"	"F"	"Gila County, AZ"	"04007"	"2011"	"2011"	26901
	"Female"	"F"	"Gila County, AZ"	"04007"	"2015"	"2015"	26729
"Total"	"Female"	"F"	"Gila County, AZ"	"04007"			53630
	"Female"	"F"	"Graham County, AZ"	"04009"	"2011"	"2011"	17208
	"Female"	"F"	"Graham County, AZ"	"04009"	"2015"	"2015"	17542
"Total"	"Female"	"F"	"Graham County, AZ"	"04009"			34750
	"Female"	"F"	"Greenlee County, AZ"	"04011"	"2011"	"2011"	4109
	"Female"	"F"	"Greenlee County, AZ"	"04011"	"2015"	"2015"	4633
"Total"	"Female"	"F"	"Greenlee County, AZ"	"04011"			8742
	"Female"	"F"	"La Paz County, AZ"	"04012"	"2011"	"2011"	10018
	"Female"	"F"	"La Paz County, AZ"	"04012"	"2015"	"2015"	9928
"Total"	"Female"	"F"	"La Paz County, AZ"	"04012"			19946
	"Female"	"F"	"Maricopa County, AZ"	"04013"	"2011"	"2011"	1959544
	"Female"	"F"	"Maricopa County, AZ"	"04013"	"2015"	"2015"	2108905
"Total"	"Female"	"F"	"Maricopa County, AZ"	"04013"			4068449
	"Female"	"F"	"Mohave County, AZ"	"04015"	"2011"	"2011"	100817
	"Female"	"F"	"Mohave County, AZ"	"04015"	"2015"	"2015"	101412
"Total"	"Female"	"F"	"Mohave County, AZ"	"04015"			202229
	"Female"	"F"	"Navajo County, AZ"	"04017"	"2011"	"2011"	53630
	"Female"	"F"	"Navajo County, AZ"	"04017"	"2015"	"2015"	53761
"Total"	"Female"	"F"	"Navajo County, AZ"	"04017"			107391
	"Female"	"F"	"Pima County, AZ"	"04019"	"2011"	"2011"	502186
	"Female"	"F"	"Pima County, AZ"	"04019"	"2015"	"2015"	512322
"Total"	"Female"	"F"	"Pima County, AZ"	"04019"			1014508
	"Female"	"F"	"Pinal County, AZ"	"04021"	"2011"	"2011"	179627
	"Female"	"F"	"Pinal County, AZ"	"04021"	"2015"	"2015"	193434
"Total"	"Female"	"F"	"Pinal County, AZ"	"04021"			373061
	"Female"	"F"	"Santa Cruz County, AZ"	"04023"	"2011"	"2011"	24905
	"Female"	"F"	"Santa Cruz County, AZ"	"04023"	"2015"	"2015"	24270
"Total"	"Female"	"F"	"Santa Cruz County, AZ"	"04023"			49175
	"Female"	"F"	"Yavapai County, AZ"	"04025"	"2011"	"2011"	107547
	"Female"	"F"	"Yavapai County, AZ"	"04025"	"2015"	"2015"	112793
"Total"	"Female"	"F"	"Yavapai County, AZ"	"04025"			220340
	"Female"	"F"	"Yuma County, AZ"	"04027"	"2011"	"2011"	99312
	"Female"	"F"	"Yuma County, AZ"	"04027"	"2015"	"2015"	99841
"Total"	"Female"	"F"	"Yuma County, AZ"	"04027"			199153
	"Female"	"F"	"Arkansas County, AR"	"05001"	"2011"	"2011"	9735
	"Female"	"F"	"Arkansas County, AR"	"05001"	"2015"	"2015"	9477
"Total"	"Female"	"F"	"Arkansas County, AR"	"05001"			19212
