"Notes"	"Gender"	"Gender Code"	"County"	"County Code"	"Yearly July 1st Estimates"	"Yearly July 1st Estimates Code"	Population
	"Male"	"M"	"Lake County, TN"	"47095"	"2011"	"2011"	4966
	"Male"	"M"	"Lake County, TN"	"47095"	"2015"	"2015"	4861
"Total"	"Male"	"M"	"Lake County, TN"	"47095"			9827
	"Male"	"M"	"Lauderdale County, TN"	"47097"	"2011"	"2011"	14580
	"Male"	"M"	"Lauderdale County, TN"	"47097"	"2015"	"2015"	14067
"Total"	"Male"	"M"	"Lauderdale County, TN"	"47097"			28647
	"Male"	"M"	"Lawrence County, TN"	"47099"	"2011"	"2011"	20581
	"Male"	"M"	"Lawrence County, TN"	"47099"	"2015"	"2015"	20888
"Total"	"Male"	"M"	"Lawrence County, TN"	"47099"			41469
	"Male"	"M"	"Lewis County, TN"	"47101"	"2011"	"2011"	5967
	"Male"	"M"	"Lewis County, TN"	"47101"	"2015"	"2015"	5793
"Total"	"Male"	"M"	"Lewis County, TN"	"47101"			11760
	"Male"	"M"	"Lincoln County, TN"	"47103"	"2011"	"2011"	16328
	"Male"	"M"	"Lincoln County, TN"	"47103"	"2015"	"2015"	16443
"Total"	"Male"	"M"	"Lincoln County, TN"	"47103"			32771
	"Male"	"M"	"Loudon County, TN"	"47105"	"2011"	"2011"	24147
	"Male"	"M"	"Loudon County, TN"	"47105"	"2015"	"2015"	24978
"Total"	"Male"	"M"	"Loudon County, TN"	"47105"			49125
	"Male"	"M"	"McMinn County, TN"	"47107"	"2011"	"2011"	25435
	"Male"	"M"	"McMinn County, TN"	"47107"	"2015"	"2015"	25634
"Total"	"Male"	"M"	"McMinn County, TN"	"47107"			51069
	"Male"	"M"	"McNairy County, TN"	"47109"	"2011"	"2011"	12796
	"Male"	"M"	"McNairy County, TN"	"47109"	"2015"	"2015"	12672
"Total"	"Male"	"M"	"McNairy County, TN"	"47109"			25468
	"Male"	"M"	"Macon County, TN"	"47111"	"2011"	"2011"	10976
	"Male"	"M"	"Macon County, TN"	"47111"	"2015"	"2015"	11243
"Total"	"Male"	"M"	"Macon County, TN"	"47111"			22219
	"Male"	"M"	"Madison County, TN"	"47113"	"2011"	"2011"	46550
	"Male"	"M"	"Madison County, TN"	"47113"	"2015"	"2015"	46132
"Total"	"Male"	"M"	"Madison County, TN"	"47113"			92682
	"Male"	"M"	"Marion County, TN"	"47115"	"2011"	"2011"	13827
	"Male"	"M"	"Marion County, TN"	"47115"	"2015"	"2015"	13896
"Total"	"Male"	"M"	"Marion County, TN"	"47115"			27723
	"Male"	"M"	"Marshall County, TN"	"47117"	"2011"	"2011"	15131
	"Male"	"M"	"Marshall County, TN"	"47117"	"2015"	"2015"	15474
"Total"	"Male"	"M"	"Marshall County, TN"	"47117"			30605
	"Male"	"M"	"Maury County, TN"	"47119"	"2011"	"2011"	39346
	"Male"	"M"	"Maury County, TN"	"47119"	"2015"	"2015"	42128
"Total"	"Male"	"M"	"Maury County, TN"	"47119"			81474
	"Male"	"M"	"Meigs County, TN"	"47121"	"2011"	"2011"	5789
	"Male"	"M"	"Meigs County, TN"	"47121"	"2015"	"2015"	5905
"Total"	"Male"	"M"	"Meigs County, TN"	"47121"			11694
	"Male"	"M"	"Monroe County, TN"	"47123"	"2011"	"2011"	22264
	"Male"	"M"	"Monroe County, TN"	"47123"	"2015"	"2015"	22627
"Total"	"Male"	"M"	"Monroe County, TN"	"47123"			44891
	"Male"	"M"	"Montgomery County, TN"	"47125"	"2011"	"2011"	86873
	"Male"	"M"	"Montgomery County, TN"	"47125"	"2015"	"2015"	96224
"Total"	"Male"	"M"	"Montgomery County, TN"	"47125"			183097
	"Male"	"M"	"Moore County, TN"	"47127"	"2011"	"2011"	3158
	"Male"	"M"	"Moore County, TN"	"47127"	"2015"	"2015"	3107
"Total"	"Male"	"M"	"Moore County, TN"	"47127"			6265
	"Male"	"M"	"Morgan County, TN"	"47129"	"2011"	"2011"	12132
	"Male"	"M"	"Morgan County, TN"	"47129"	"2015"	"2015"	11743
"Total"	"Male"	"M"	"Morgan County, TN"	"47129"			23875
	"Male"	"M"	"Obion County, TN"	"47131"	"2011"	"2011"	15310
	"Male"	"M"	"Obion County, TN"	"47131"	"2015"	"2015"	14830
"Total"	"Male"	"M"	"Obion County, TN"	"47131"			30140
	"Male"	"M"	"Overton County, TN"	"47133"	"2011"	"2011"	10907
	"Male"	"M"	"Overton County, TN"	"47133"	"2015"	"2015"	10876
"Total"	"Male"	"M"	"Overton County, TN"	"47133"			21783
	"Male"	"M"	"Perry County, TN"	"47135"	"2011"	"2011"	3965
	"Male"	"M"	"Perry County, TN"	"47135"	"2015"	"2015"	3968
"Total"	"Male"	"M"	"Perry County, TN"	"47135"			7933
	"Male"	"M"	"Pickett County, TN"	"47137"	"2011"	"2011"	2573
	"Male"	"M"	"Pickett County, TN"	"47137"	"2015"	"2015"	2554
"Total"	"Male"	"M"	"Pickett County, TN"	"47137"			5127
	"Male"	"M"	"Polk County, TN"	"47139"	"2011"	"2011"	8296
	"Male"	"M"	"Polk County, TN"	"47139"	"2015"	"2015"	8339
"Total"	"Male"	"M"	"Polk County, TN"	"47139"			16635
	"Male"	"M"	"Putnam County, TN"	"47141"	"2011"	"2011"	36158
	"Male"	"M"	"Putnam County, TN"	"47141"	"2015"	"2015"	37202
"Total"	"Male"	"M"	"Putnam County, TN"	"47141"			73360
	"Male"	"M"	"Rhea County, TN"	"47143"	"2011"	"2011"	15730
	"Male"	"M"	"Rhea County, TN"	"47143"	"2015"	"2015"	15940
"Total"	"Male"	"M"	"Rhea County, TN"	"47143"			31670
	"Male"	"M"	"Roane County, TN"	"47145"	"2011"	"2011"	26559
	"Male"	"M"	"Roane County, TN"	"47145"	"2015"	"2015"	25831
"Total"	"Male"	"M"	"Roane County, TN"	"47145"			52390
	"Male"	"M"	"Robertson County, TN"	"47147"	"2011"	"2011"	32846
	"Male"	"M"	"Robertson County, TN"	"47147"	"2015"	"2015"	33890
"Total"	"Male"	"M"	"Robertson County, TN"	"47147"			66736
	"Male"	"M"	"Rutherford County, TN"	"47149"	"2011"	"2011"	132849
	"Male"	"M"	"Rutherford County, TN"	"47149"	"2015"	"2015"	147167
"Total"	"Male"	"M"	"Rutherford County, TN"	"47149"			280016
	"Male"	"M"	"Scott County, TN"	"47151"	"2011"	"2011"	10872
	"Male"	"M"	"Scott County, TN"	"47151"	"2015"	"2015"	10800
"Total"	"Male"	"M"	"Scott County, TN"	"47151"			21672
	"Male"	"M"	"Sequatchie County, TN"	"47153"	"2011"	"2011"	7051
	"Male"	"M"	"Sequatchie County, TN"	"47153"	"2015"	"2015"	7208
"Total"	"Male"	"M"	"Sequatchie County, TN"	"47153"			14259
	"Male"	"M"	"Sevier County, TN"	"47155"	"2011"	"2011"	44907
	"Male"	"M"	"Sevier County, TN"	"47155"	"2015"	"2015"	46785
"Total"	"Male"	"M"	"Sevier County, TN"	"47155"			91692
	"Male"	"M"	"Shelby County, TN"	"47157"	"2011"	"2011"	444984
	"Male"	"M"	"Shelby County, TN"	"47157"	"2015"	"2015"	446047
"Total"	"Male"	"M"	"Shelby County, TN"	"47157"			891031
	"Male"	"M"	"Smith County, TN"	"47159"	"2011"	"2011"	9495
	"Male"	"M"	"Smith County, TN"	"47159"	"2015"	"2015"	9605
"Total"	"Male"	"M"	"Smith County, TN"	"47159"			19100
	"Male"	"M"	"Stewart County, TN"	"47161"	"2011"	"2011"	6589
	"Male"	"M"	"Stewart County, TN"	"47161"	"2015"	"2015"	6586
"Total"	"Male"	"M"	"Stewart County, TN"	"47161"			13175
	"Male"	"M"	"Sullivan County, TN"	"47163"	"2011"	"2011"	75847
	"Male"	"M"	"Sullivan County, TN"	"47163"	"2015"	"2015"	75774
"Total"	"Male"	"M"	"Sullivan County, TN"	"47163"			151621
	"Male"	"M"	"Sumner County, TN"	"47165"	"2011"	"2011"	79859
	"Male"	"M"	"Sumner County, TN"	"47165"	"2015"	"2015"	85838
"Total"	"Male"	"M"	"Sumner County, TN"	"47165"			165697
	"Male"	"M"	"Tipton County, TN"	"47167"	"2011"	"2011"	30099
	"Male"	"M"	"Tipton County, TN"	"47167"	"2015"	"2015"	30314
"Total"	"Male"	"M"	"Tipton County, TN"	"47167"			60413
	"Male"	"M"	"Trousdale County, TN"	"47169"	"2011"	"2011"	3872
	"Male"	"M"	"Trousdale County, TN"	"47169"	"2015"	"2015"	3973
"Total"	"Male"	"M"	"Trousdale County, TN"	"47169"			7845
	"Male"	"M"	"Unicoi County, TN"	"47171"	"2011"	"2011"	8958
	"Male"	"M"	"Unicoi County, TN"	"47171"	"2015"	"2015"	8751
"Total"	"Male"	"M"	"Unicoi County, TN"	"47171"			17709
	"Male"	"M"	"Union County, TN"	"47173"	"2011"	"2011"	9562
	"Male"	"M"	"Union County, TN"	"47173"	"2015"	"2015"	9498
"Total"	"Male"	"M"	"Union County, TN"	"47173"			19060
	"Male"	"M"	"Van Buren County, TN"	"47175"	"2011"	"2011"	2768
	"Male"	"M"	"Van Buren County, TN"	"47175"	"2015"	"2015"	2887
"Total"	"Male"	"M"	"Van Buren County, TN"	"47175"			5655
	"Male"	"M"	"Warren County, TN"	"47177"	"2011"	"2011"	19706
	"Male"	"M"	"Warren County, TN"	"47177"	"2015"	"2015"	19856
"Total"	"Male"	"M"	"Warren County, TN"	"47177"			39562
	"Male"	"M"	"Washington County, TN"	"47179"	"2011"	"2011"	60506
	"Male"	"M"	"Washington County, TN"	"47179"	"2015"	"2015"	61599
"Total"	"Male"	"M"	"Washington County, TN"	"47179"			122105
	"Male"	"M"	"Wayne County, TN"	"47181"	"2011"	"2011"	9411
	"Male"	"M"	"Wayne County, TN"	"47181"	"2015"	"2015"	9312
"Total"	"Male"	"M"	"Wayne County, TN"	"47181"			18723
	"Male"	"M"	"Weakley County, TN"	"47183"	"2011"	"2011"	17103
	"Male"	"M"	"Weakley County, TN"	"47183"	"2015"	"2015"	16521
"Total"	"Male"	"M"	"Weakley County, TN"	"47183"			33624
	"Male"	"M"	"White County, TN"	"47185"	"2011"	"2011"	12755
	"Male"	"M"	"White County, TN"	"47185"	"2015"	"2015"	12880
"Total"	"Male"	"M"	"White County, TN"	"47185"			25635
	"Male"	"M"	"Williamson County, TN"	"47187"	"2011"	"2011"	92012
	"Male"	"M"	"Williamson County, TN"	"47187"	"2015"	"2015"	103590
"Total"	"Male"	"M"	"Williamson County, TN"	"47187"			195602
	"Male"	"M"	"Wilson County, TN"	"47189"	"2011"	"2011"	57251
	"Male"	"M"	"Wilson County, TN"	"47189"	"2015"	"2015"	63097
"Total"	"Male"	"M"	"Wilson County, TN"	"47189"			120348
	"Male"	"M"	"Anderson County, TX"	"48001"	"2011"	"2011"	35586
	"Male"	"M"	"Anderson County, TX"	"48001"	"2015"	"2015"	35268
"Total"	"Male"	"M"	"Anderson County, TX"	"48001"			70854
	"Male"	"M"	"Andrews County, TX"	"48003"	"2011"	"2011"	7690
	"Male"	"M"	"Andrews County, TX"	"48003"	"2015"	"2015"	9297
"Total"	"Male"	"M"	"Andrews County, TX"	"48003"			16987
	"Male"	"M"	"Angelina County, TX"	"48005"	"2011"	"2011"	42813
	"Male"	"M"	"Angelina County, TX"	"48005"	"2015"	"2015"	42898
"Total"	"Male"	"M"	"Angelina County, TX"	"48005"			85711
	"Male"	"M"	"Aransas County, TX"	"48007"	"2011"	"2011"	11517
	"Male"	"M"	"Aransas County, TX"	"48007"	"2015"	"2015"	12375
"Total"	"Male"	"M"	"Aransas County, TX"	"48007"			23892
	"Male"	"M"	"Archer County, TX"	"48009"	"2011"	"2011"	4454
	"Male"	"M"	"Archer County, TX"	"48009"	"2015"	"2015"	4375
"Total"	"Male"	"M"	"Archer County, TX"	"48009"			8829
	"Male"	"M"	"Armstrong County, TX"	"48011"	"2011"	"2011"	949
	"Male"	"M"	"Armstrong County, TX"	"48011"	"2015"	"2015"	928
"Total"	"Male"	"M"	"Armstrong County, TX"	"48011"			1877
	"Male"	"M"	"Atascosa County, TX"	"48013"	"2011"	"2011"	22552
	"Male"	"M"	"Atascosa County, TX"	"48013"	"2015"	"2015"	24079
"Total"	"Male"	"M"	"Atascosa County, TX"	"48013"			46631
	"Male"	"M"	"Austin County, TX"	"48015"	"2011"	"2011"	14181
	"Male"	"M"	"Austin County, TX"	"48015"	"2015"	"2015"	14611
"Total"	"Male"	"M"	"Austin County, TX"	"48015"			28792
	"Male"	"M"	"Bailey County, TX"	"48017"	"2011"	"2011"	3659
	"Male"	"M"	"Bailey County, TX"	"48017"	"2015"	"2015"	3659
"Total"	"Male"	"M"	"Bailey County, TX"	"48017"			7318
	"Male"	"M"	"Bandera County, TX"	"48019"	"2011"	"2011"	10204
	"Male"	"M"	"Bandera County, TX"	"48019"	"2015"	"2015"	10484
"Total"	"Male"	"M"	"Bandera County, TX"	"48019"			20688
	"Male"	"M"	"Bastrop County, TX"	"48021"	"2011"	"2011"	38300
	"Male"	"M"	"Bastrop County, TX"	"48021"	"2015"	"2015"	40791
"Total"	"Male"	"M"	"Bastrop County, TX"	"48021"			79091
	"Male"	"M"	"Baylor County, TX"	"48023"	"2011"	"2011"	1768
	"Male"	"M"	"Baylor County, TX"	"48023"	"2015"	"2015"	1777
"Total"	"Male"	"M"	"Baylor County, TX"	"48023"			3545
	"Male"	"M"	"Bee County, TX"	"48025"	"2011"	"2011"	19377
	"Male"	"M"	"Bee County, TX"	"48025"	"2015"	"2015"	19705
"Total"	"Male"	"M"	"Bee County, TX"	"48025"			39082
	"Male"	"M"	"Bell County, TX"	"48027"	"2011"	"2011"	156255
	"Male"	"M"	"Bell County, TX"	"48027"	"2015"	"2015"	168563
"Total"	"Male"	"M"	"Bell County, TX"	"48027"			324818
	"Male"	"M"	"Bexar County, TX"	"48029"	"2011"	"2011"	861290
	"Male"	"M"	"Bexar County, TX"	"48029"	"2015"	"2015"	934283
"Total"	"Male"	"M"	"Bexar County, TX"	"48029"			1795573
	"Male"	"M"	"Blanco County, TX"	"48031"	"2011"	"2011"	5344
	"Male"	"M"	"Blanco County, TX"	"48031"	"2015"	"2015"	5539
"Total"	"Male"	"M"	"Blanco County, TX"	"48031"			10883
	"Male"	"M"	"Borden County, TX"	"48033"	"2011"	"2011"	332
	"Male"	"M"	"Borden County, TX"	"48033"	"2015"	"2015"	348
"Total"	"Male"	"M"	"Borden County, TX"	"48033"			680
	"Male"	"M"	"Bosque County, TX"	"48035"	"2011"	"2011"	9050
	"Male"	"M"	"Bosque County, TX"	"48035"	"2015"	"2015"	8810
"Total"	"Male"	"M"	"Bosque County, TX"	"48035"			17860
	"Male"	"M"	"Bowie County, TX"	"48037"	"2011"	"2011"	46892
	"Male"	"M"	"Bowie County, TX"	"48037"	"2015"	"2015"	46665
"Total"	"Male"	"M"	"Bowie County, TX"	"48037"			93557
	"Male"	"M"	"Brazoria County, TX"	"48039"	"2011"	"2011"	161924
	"Male"	"M"	"Brazoria County, TX"	"48039"	"2015"	"2015"	174879
"Total"	"Male"	"M"	"Brazoria County, TX"	"48039"			336803
	"Male"	"M"	"Brazos County, TX"	"48041"	"2011"	"2011"	100067
	"Male"	"M"	"Brazos County, TX"	"48041"	"2015"	"2015"	109641
"Total"	"Male"	"M"	"Brazos County, TX"	"48041"			209708
	"Male"	"M"	"Brewster County, TX"	"48043"	"2011"	"2011"	4697
	"Male"	"M"	"Brewster County, TX"	"48043"	"2015"	"2015"	4571
"Total"	"Male"	"M"	"Brewster County, TX"	"48043"			9268
	"Male"	"M"	"Briscoe County, TX"	"48045"	"2011"	"2011"	815
	"Male"	"M"	"Briscoe County, TX"	"48045"	"2015"	"2015"	738
"Total"	"Male"	"M"	"Briscoe County, TX"	"48045"			1553
	"Male"	"M"	"Brooks County, TX"	"48047"	"2011"	"2011"	3598
	"Male"	"M"	"Brooks County, TX"	"48047"	"2015"	"2015"	3645
"Total"	"Male"	"M"	"Brooks County, TX"	"48047"			7243
	"Male"	"M"	"Brown County, TX"	"48049"	"2011"	"2011"	18778
	"Male"	"M"	"Brown County, TX"	"48049"	"2015"	"2015"	18641
"Total"	"Male"	"M"	"Brown County, TX"	"48049"			37419
	"Male"	"M"	"Burleson County, TX"	"48051"	"2011"	"2011"	8587
	"Male"	"M"	"Burleson County, TX"	"48051"	"2015"	"2015"	8762
"Total"	"Male"	"M"	"Burleson County, TX"	"48051"			17349
	"Male"	"M"	"Burnet County, TX"	"48053"	"2011"	"2011"	21212
	"Male"	"M"	"Burnet County, TX"	"48053"	"2015"	"2015"	21887
"Total"	"Male"	"M"	"Burnet County, TX"	"48053"			43099
	"Male"	"M"	"Caldwell County, TX"	"48055"	"2011"	"2011"	19368
	"Male"	"M"	"Caldwell County, TX"	"48055"	"2015"	"2015"	20291
"Total"	"Male"	"M"	"Caldwell County, TX"	"48055"			39659
	"Male"	"M"	"Calhoun County, TX"	"48057"	"2011"	"2011"	10841
	"Male"	"M"	"Calhoun County, TX"	"48057"	"2015"	"2015"	11228
"Total"	"Male"	"M"	"Calhoun County, TX"	"48057"			22069
	"Male"	"M"	"Callahan County, TX"	"48059"	"2011"	"2011"	6594
	"Male"	"M"	"Callahan County, TX"	"48059"	"2015"	"2015"	6704
"Total"	"Male"	"M"	"Callahan County, TX"	"48059"			13298
	"Male"	"M"	"Cameron County, TX"	"48061"	"2011"	"2011"	198916
	"Male"	"M"	"Cameron County, TX"	"48061"	"2015"	"2015"	203296
"Total"	"Male"	"M"	"Cameron County, TX"	"48061"			402212
	"Male"	"M"	"Camp County, TX"	"48063"	"2011"	"2011"	6046
	"Male"	"M"	"Camp County, TX"	"48063"	"2015"	"2015"	6128
"Total"	"Male"	"M"	"Camp County, TX"	"48063"			12174
	"Male"	"M"	"Carson County, TX"	"48065"	"2011"	"2011"	3065
	"Male"	"M"	"Carson County, TX"	"48065"	"2015"	"2015"	3005
"Total"	"Male"	"M"	"Carson County, TX"	"48065"			6070
	"Male"	"M"	"Cass County, TX"	"48067"	"2011"	"2011"	14680
	"Male"	"M"	"Cass County, TX"	"48067"	"2015"	"2015"	14571
"Total"	"Male"	"M"	"Cass County, TX"	"48067"			29251
	"Male"	"M"	"Castro County, TX"	"48069"	"2011"	"2011"	4112
	"Male"	"M"	"Castro County, TX"	"48069"	"2015"	"2015"	3950
"Total"	"Male"	"M"	"Castro County, TX"	"48069"			8062
	"Male"	"M"	"Chambers County, TX"	"48071"	"2011"	"2011"	17962
	"Male"	"M"	"Chambers County, TX"	"48071"	"2015"	"2015"	19697
"Total"	"Male"	"M"	"Chambers County, TX"	"48071"			37659
	"Male"	"M"	"Cherokee County, TX"	"48073"	"2011"	"2011"	26042
	"Male"	"M"	"Cherokee County, TX"	"48073"	"2015"	"2015"	26248
"Total"	"Male"	"M"	"Cherokee County, TX"	"48073"			52290
	"Male"	"M"	"Childress County, TX"	"48075"	"2011"	"2011"	4119
	"Male"	"M"	"Childress County, TX"	"48075"	"2015"	"2015"	4279
"Total"	"Male"	"M"	"Childress County, TX"	"48075"			8398
	"Male"	"M"	"Clay County, TX"	"48077"	"2011"	"2011"	5292
	"Male"	"M"	"Clay County, TX"	"48077"	"2015"	"2015"	5174
"Total"	"Male"	"M"	"Clay County, TX"	"48077"			10466
	"Male"	"M"	"Cochran County, TX"	"48079"	"2011"	"2011"	1520
	"Male"	"M"	"Cochran County, TX"	"48079"	"2015"	"2015"	1486
"Total"	"Male"	"M"	"Cochran County, TX"	"48079"			3006
	"Male"	"M"	"Coke County, TX"	"48081"	"2011"	"2011"	1596
	"Male"	"M"	"Coke County, TX"	"48081"	"2015"	"2015"	1606
"Total"	"Male"	"M"	"Coke County, TX"	"48081"			3202
	"Male"	"M"	"Coleman County, TX"	"48083"	"2011"	"2011"	4361
	"Male"	"M"	"Coleman County, TX"	"48083"	"2015"	"2015"	4141
"Total"	"Male"	"M"	"Coleman County, TX"	"48083"			8502
	"Male"	"M"	"Collin County, TX"	"48085"	"2011"	"2011"	399122
	"Male"	"M"	"Collin County, TX"	"48085"	"2015"	"2015"	449470
"Total"	"Male"	"M"	"Collin County, TX"	"48085"			848592
	"Male"	"M"	"Collingsworth County, TX"	"48087"	"2011"	"2011"	1506
	"Male"	"M"	"Collingsworth County, TX"	"48087"	"2015"	"2015"	1444
"Total"	"Male"	"M"	"Collingsworth County, TX"	"48087"			2950
	"Male"	"M"	"Colorado County, TX"	"48089"	"2011"	"2011"	10318
	"Male"	"M"	"Colorado County, TX"	"48089"	"2015"	"2015"	10485
"Total"	"Male"	"M"	"Colorado County, TX"	"48089"			20803
	"Male"	"M"	"Comal County, TX"	"48091"	"2011"	"2011"	55119
	"Male"	"M"	"Comal County, TX"	"48091"	"2015"	"2015"	63709
"Total"	"Male"	"M"	"Comal County, TX"	"48091"			118828
	"Male"	"M"	"Comanche County, TX"	"48093"	"2011"	"2011"	6833
	"Male"	"M"	"Comanche County, TX"	"48093"	"2015"	"2015"	6595
"Total"	"Male"	"M"	"Comanche County, TX"	"48093"			13428
	"Male"	"M"	"Concho County, TX"	"48095"	"2011"	"2011"	2828
	"Male"	"M"	"Concho County, TX"	"48095"	"2015"	"2015"	2831
"Total"	"Male"	"M"	"Concho County, TX"	"48095"			5659
	"Male"	"M"	"Cooke County, TX"	"48097"	"2011"	"2011"	18947
	"Male"	"M"	"Cooke County, TX"	"48097"	"2015"	"2015"	19434
"Total"	"Male"	"M"	"Cooke County, TX"	"48097"			38381
	"Male"	"M"	"Coryell County, TX"	"48099"	"2011"	"2011"	37658
	"Male"	"M"	"Coryell County, TX"	"48099"	"2015"	"2015"	38279
"Total"	"Male"	"M"	"Coryell County, TX"	"48099"			75937
	"Male"	"M"	"Cottle County, TX"	"48101"	"2011"	"2011"	705
	"Male"	"M"	"Cottle County, TX"	"48101"	"2015"	"2015"	686
"Total"	"Male"	"M"	"Cottle County, TX"	"48101"			1391
	"Male"	"M"	"Crane County, TX"	"48103"	"2011"	"2011"	2138
	"Male"	"M"	"Crane County, TX"	"48103"	"2015"	"2015"	2509
"Total"	"Male"	"M"	"Crane County, TX"	"48103"			4647
	"Male"	"M"	"Crockett County, TX"	"48105"	"2011"	"2011"	1800
	"Male"	"M"	"Crockett County, TX"	"48105"	"2015"	"2015"	1868
"Total"	"Male"	"M"	"Crockett County, TX"	"48105"			3668
	"Male"	"M"	"Crosby County, TX"	"48107"	"2011"	"2011"	2934
	"Male"	"M"	"Crosby County, TX"	"48107"	"2015"	"2015"	2927
"Total"	"Male"	"M"	"Crosby County, TX"	"48107"			5861
	"Male"	"M"	"Culberson County, TX"	"48109"	"2011"	"2011"	1155
	"Male"	"M"	"Culberson County, TX"	"48109"	"2015"	"2015"	1101
"Total"	"Male"	"M"	"Culberson County, TX"	"48109"			2256
	"Male"	"M"	"Dallam County, TX"	"48111"	"2011"	"2011"	3585
	"Male"	"M"	"Dallam County, TX"	"48111"	"2015"	"2015"	3793
"Total"	"Male"	"M"	"Dallam County, TX"	"48111"			7378
	"Male"	"M"	"Dallas County, TX"	"48113"	"2011"	"2011"	1189983
	"Male"	"M"	"Dallas County, TX"	"48113"	"2015"	"2015"	1260139
"Total"	"Male"	"M"	"Dallas County, TX"	"48113"			2450122
	"Male"	"M"	"Dawson County, TX"	"48115"	"2011"	"2011"	7831
	"Male"	"M"	"Dawson County, TX"	"48115"	"2015"	"2015"	7082
"Total"	"Male"	"M"	"Dawson County, TX"	"48115"			14913
	"Male"	"M"	"Deaf Smith County, TX"	"48117"	"2011"	"2011"	9711
	"Male"	"M"	"Deaf Smith County, TX"	"48117"	"2015"	"2015"	9372
"Total"	"Male"	"M"	"Deaf Smith County, TX"	"48117"			19083
	"Male"	"M"	"Delta County, TX"	"48119"	"2011"	"2011"	2519
	"Male"	"M"	"Delta County, TX"	"48119"	"2015"	"2015"	2527
"Total"	"Male"	"M"	"Delta County, TX"	"48119"			5046
	"Male"	"M"	"Denton County, TX"	"48121"	"2011"	"2011"	337405
	"Male"	"M"	"Denton County, TX"	"48121"	"2015"	"2015"	383422
"Total"	"Male"	"M"	"Denton County, TX"	"48121"			720827
	"Male"	"M"	"DeWitt County, TX"	"48123"	"2011"	"2011"	10548
	"Male"	"M"	"DeWitt County, TX"	"48123"	"2015"	"2015"	10818
"Total"	"Male"	"M"	"DeWitt County, TX"	"48123"			21366
	"Male"	"M"	"Dickens County, TX"	"48125"	"2011"	"2011"	1365
	"Male"	"M"	"Dickens County, TX"	"48125"	"2015"	"2015"	1253
"Total"	"Male"	"M"	"Dickens County, TX"	"48125"			2618
	"Male"	"M"	"Dimmit County, TX"	"48127"	"2011"	"2011"	4933
	"Male"	"M"	"Dimmit County, TX"	"48127"	"2015"	"2015"	5381
"Total"	"Male"	"M"	"Dimmit County, TX"	"48127"			10314
	"Male"	"M"	"Donley County, TX"	"48129"	"2011"	"2011"	1817
	"Male"	"M"	"Donley County, TX"	"48129"	"2015"	"2015"	1676
"Total"	"Male"	"M"	"Donley County, TX"	"48129"			3493
	"Male"	"M"	"Duval County, TX"	"48131"	"2011"	"2011"	6139
	"Male"	"M"	"Duval County, TX"	"48131"	"2015"	"2015"	5811
"Total"	"Male"	"M"	"Duval County, TX"	"48131"			11950
	"Male"	"M"	"Eastland County, TX"	"48133"	"2011"	"2011"	9117
	"Male"	"M"	"Eastland County, TX"	"48133"	"2015"	"2015"	9009
"Total"	"Male"	"M"	"Eastland County, TX"	"48133"			18126
	"Male"	"M"	"Ector County, TX"	"48135"	"2011"	"2011"	69279
	"Male"	"M"	"Ector County, TX"	"48135"	"2015"	"2015"	81136
"Total"	"Male"	"M"	"Ector County, TX"	"48135"			150415
	"Male"	"M"	"Edwards County, TX"	"48137"	"2011"	"2011"	986
	"Male"	"M"	"Edwards County, TX"	"48137"	"2015"	"2015"	996
"Total"	"Male"	"M"	"Edwards County, TX"	"48137"			1982
	"Male"	"M"	"Ellis County, TX"	"48139"	"2011"	"2011"	75336
	"Male"	"M"	"Ellis County, TX"	"48139"	"2015"	"2015"	80540
"Total"	"Male"	"M"	"Ellis County, TX"	"48139"			155876
	"Male"	"M"	"El Paso County, TX"	"48141"	"2011"	"2011"	398802
	"Male"	"M"	"El Paso County, TX"	"48141"	"2015"	"2015"	407369
"Total"	"Male"	"M"	"El Paso County, TX"	"48141"			806171
	"Male"	"M"	"Erath County, TX"	"48143"	"2011"	"2011"	19122
	"Male"	"M"	"Erath County, TX"	"48143"	"2015"	"2015"	20294
"Total"	"Male"	"M"	"Erath County, TX"	"48143"			39416
	"Male"	"M"	"Falls County, TX"	"48145"	"2011"	"2011"	8492
	"Male"	"M"	"Falls County, TX"	"48145"	"2015"	"2015"	8140
"Total"	"Male"	"M"	"Falls County, TX"	"48145"			16632
	"Male"	"M"	"Fannin County, TX"	"48147"	"2011"	"2011"	17955
	"Male"	"M"	"Fannin County, TX"	"48147"	"2015"	"2015"	17780
"Total"	"Male"	"M"	"Fannin County, TX"	"48147"			35735
	"Male"	"M"	"Fayette County, TX"	"48149"	"2011"	"2011"	12149
	"Male"	"M"	"Fayette County, TX"	"48149"	"2015"	"2015"	12224
"Total"	"Male"	"M"	"Fayette County, TX"	"48149"			24373
	"Male"	"M"	"Fisher County, TX"	"48151"	"2011"	"2011"	1968
	"Male"	"M"	"Fisher County, TX"	"48151"	"2015"	"2015"	1937
"Total"	"Male"	"M"	"Fisher County, TX"	"48151"			3905
	"Male"	"M"	"Floyd County, TX"	"48153"	"2011"	"2011"	3140
	"Male"	"M"	"Floyd County, TX"	"48153"	"2015"	"2015"	2903
"Total"	"Male"	"M"	"Floyd County, TX"	"48153"			6043
	"Male"	"M"	"Foard County, TX"	"48155"	"2011"	"2011"	656
	"Male"	"M"	"Foard County, TX"	"48155"	"2015"	"2015"	586
"Total"	"Male"	"M"	"Foard County, TX"	"48155"			1242
